class,node,colour
Archaeorhizomycetes,1,
Arthoniomycetes,2,#00C087
Coniocybomycetes,5,#9C8Dff
Dothideomycetes,6,#00BCD6
Eurotiomycetes,40,#D09400
Geoglossomycetes,51,#E7851E
Laboulbeniomycetes,52,#00B3F2
Lecanoromycetes,55,#89AC00
Leotiomycetes,73,#29A3FF
Lichinomycetes,85,
Neolectomycetes,86,#F8766D
Orbiliomycetes,87,#FF689E
Pezizomycetes,88,#00BC51
Pneumocystidomycetes,89,#00C0b2
Saccharomycetes,90,#B2A100
Schizosaccharomycetes,91,#FF61C7
Sordariomycetes,92,#F166E8
Taphrinomycetes,130,#45B500
Xylonomycetes,131,#D277FF
Incertae sedis,132,
