PHYLUM,ORDER,GENUS,SPECIES,METHOD,1C in pg,1C in Mbp,x,FGSDID,SPECIMEN ID
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,84.45,,,Vina_2455_CAM
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,88.36,,,Vina_2458_CAM
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,90.59,,,Vina_2468_CAP
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,86,,,Vina_2508_domASIA
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,88.94,,,Vina_EUB04_domEU
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,82.39,,,Vina_1066e_flo
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,84.15,,,Vina_2263_loq
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,88.84,,,Vina_2504_loq
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,88.1,,,Vina_2389_sor
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,86.96,,,Vina_2486_ori
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,92.94,,,Vina_2488_ori
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,74.27,,,Vina_1669_pyr
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,76.36,,,Vina_2269_pyr
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,81.58,,,Vina_2478_syl
Ascomycota,Venturiales,Venturia,inaequalis,PI-FC,,85.62,,,Vina_2480_syl
Ascomycota,Venturiales,Venturia,pyrina,PI-FC,,73.5,,,Vpir_2346_pir
Ascomycota,Venturiales,Venturia,pyrina,PI-FC,,68.73,,,Vpir_VP36_pir
Ascomycota,Venturiales,Venturia,pyrina,PI-FC,,68.73,,,Vpir_VP151_pir
Ascomycota,Venturiales,Venturia,asperata,PI-FC,,45.08,,,Vasp_2202_Ariane
Ascomycota,Venturiales,Venturia,asperata,PI-FC,,47.06,,,Vasp_2353_Ariane
Ascomycota,Venturiales,Venturia,aucupariae,PI-FC,,63.58,,,Vauc_2371_sor
